Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
USDz,USD,Chainlink,Chainlink_USDz/USD,0xe3512a7c44d4a68421f36a6824fd2e60c25fe72e,0x04D5ddf5f3a8939889F11E97f8c4BB48317F1938,0x0000000000000000000000000000000000000348,Yes
wrsETH,USD,Cross,Cross_wrsETH/USD,0x0977067f755904bc0fad23f0788f72f2dddd4767,0xEDfa23602D0EC14714057867A78d01e94176BEA0,0x0000000000000000000000000000000000000348,Yes
bsdETH,USD,Cross,Cross_bsdETH/USD,0xf2eb6a05b0aa9b63bb0c615ef4b8bcbb4e5aed8c,0xCb327b99fF831bF8223cCEd12B1338FF3aA322Ff,0x0000000000000000000000000000000000000348,Yes
superOETHb,USD,Cross,Cross_superOETHb/USD,0x5a3ad0da327b48e295961487b4ee1b0f6646e25d,0xDBFeFD2e8460a6Ee4955A68582F85708BAEA60A3,0x0000000000000000000000000000000000000348,Yes
PT-USR-25SEP2025,USR,Pendle,Pendle_PT-USR-25SEP2025/USR,0x939ef82881b243bd6c80e38b933d94573438b27e,0xa6F0A4D18B6f6DdD408936e81b7b3A8BEFA18e77,0x35E5dB674D8e93a03d814FA0ADa70731efe8a4b9,Yes
PT-USR-25SEP2025,USD,Cross,Cross_PT-USR-25SEP2025/USD,0x1a1490ea365bf31f79bc94236df02faac99858bf,0xa6F0A4D18B6f6DdD408936e81b7b3A8BEFA18e77,0x0000000000000000000000000000000000000348,Yes
yoETH,WETH,Rate Provider,RateProvider_yoETH/WETH,0x87044100bb65aeee4661160d470b3f79e79e506e,0x3A43AEC53490CB9Fa922847385D82fe25d0E9De7,0x4200000000000000000000000000000000000006,Yes
yoUSD,USD,Rate Provider,RateProvider_yoUSD/USD,0x0168e397cddcfe537c00e77018056f9df1b96bed,0x0000000f2eB9f69274678c76222B35eEc7588a65,0x0000000000000000000000000000000000000348,Yes
yoBTC,BTC,Rate Provider,RateProvider_yoBTC/BTC,0x12a036872311617235d65e556e58aef7593bb7d0,0xbCbc8cb4D1e8ED048a6276a5E94A3e952660BcbC,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,Yes
USDC,USD,Fixed Rate,FixedRate_USDC/USD,0x7931f7b211000ca3700d538d6bb058ca402b5805,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000348,Yes
cbBTC,BTC,Fixed Rate,FixedRate_cbBTC/BTC,0xad4d0a2b2ae072319b58f9d5302147fbfc05f8d1,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,Yes
USD₮0,USD,Chainlink,Chainlink_USD₮0/USD,0x94dae37fdf8302c5800661a93de43b77d8709925,0x102d758f688a4C1C5a80b116bD945d4455460282,0x0000000000000000000000000000000000000348,Yes
